reporting_period,registrant_cik,registrant_name,series_name,series_id,series_category_name,class_name,class_id,investment_advisor,class_ticker_symbol,Subadvisor_name
31-Oct-17,1423799,Dreyfus Institutional Reserves Funds,Dreyfus Institutional Treasury Securities Cash Advantage Fund,S000021491,Treasury,Premier Shares,C000061470,Dreyfus Corporation,DMEXX,
31-Oct-17,205007,SHORT TERM INVESTMENTS TRUST,TAX-FREE CASH RESERVE PORTFOLIO,S000022131,Other Tax Exempt,CASH MANAGEMENT CLASS,C000063498,"Invesco Advisers, Inc.",,
31-Oct-17,205007,SHORT TERM INVESTMENTS TRUST,TAX-FREE CASH RESERVE PORTFOLIO,S000022131,Other Tax Exempt,CORPORATE CLASS,C000063499,"Invesco Advisers, Inc.",,
31-Oct-17,205007,SHORT TERM INVESTMENTS TRUST,TAX-FREE CASH RESERVE PORTFOLIO,S000022131,Other Tax Exempt,INSTITUTIONAL CLASS,C000063500,"Invesco Advisers, Inc.",,
31-Oct-17,205007,SHORT TERM INVESTMENTS TRUST,TAX-FREE CASH RESERVE PORTFOLIO,S000022131,Other Tax Exempt,PERSONAL INVESTMENTCLASS,C000063501,"Invesco Advisers, Inc.",,
31-Oct-17,205007,SHORT TERM INVESTMENTS TRUST,TAX-FREE CASH RESERVE PORTFOLIO,S000022131,Other Tax Exempt,PRIVATE INVESTMENT CLASS,C000063502,"Invesco Advisers, Inc.",,
31-Oct-17,205007,SHORT TERM INVESTMENTS TRUST,TAX-FREE CASH RESERVE PORTFOLIO,S000022131,Other Tax Exempt,RESERVE CLASS,C000063503,"Invesco Advisers, Inc.",,
31-Oct-17,205007,SHORT TERM INVESTMENTS TRUST,TAX-FREE CASH RESERVE PORTFOLIO,S000022131,Other Tax Exempt,RESOURCE CLASS,C000063504,"Invesco Advisers, Inc.",,
31-Oct-17,,,UBS Select Treasury Capital Fund,S000023600,Exempt Government,UBS Select Treasury Capital Fund,C000069432,,STCXX,
31-Oct-17,356476,GREAT-WEST FUNDS INC,Great-West Government Money Market Fund,S000023728,Exempt Government,Investor Class,C000069805,"GW Capital Management, LLC",MXMXX,
31-Oct-17,356476,GREAT-WEST FUNDS INC,Great-West Government Money Market Fund,S000023728,Exempt Government,Institutional Class,C000155755,"GW Capital Management, LLC",MXGXX,
31-Oct-17,710124,NORTHERN INSTITUTIONAL FUNDS,NORTHERN INSTITUTIONAL TREASURY PORTFOLIO,S000023949,Exempt Government,SHARES,C000070152,"Northern Trust Investments, Inc.",NITXX,
31-Oct-17,710124,NORTHERN INSTITUTIONAL FUNDS,NORTHERN INSTITUTIONAL TREASURY PORTFOLIO,S000023949,Exempt Government,SERVICE SHARES,C000070153,"Northern Trust Investments, Inc.",,
